h,Q
0.05,0.000803
0.051,0.000843
0.052,0.000884
0.053,0.000926
0.054,0.00097
0.055,0.001015
0.056,0.001061
0.057,0.001108
0.058,0.001156
0.059,0.001206
0.06,0.001257
0.061,0.001309
0.062,0.001362
0.063,0.001417
0.064,0.001473
0.065,0.00153
0.066,0.001588
0.067,0.001648
0.068,0.00171
0.069,0.001772
0.07,0.001836
0.071,0.001901
0.072,0.001967
0.073,0.002035
0.074,0.002105
0.075,0.002176
0.076,0.002248
0.077,0.002322
0.078,0.002397
0.079,0.002473
0.08,0.002551
0.081,0.00263
0.082,0.00271
0.083,0.002792
0.084,0.002876
0.085,0.002961
0.086,0.003048
0.087,0.003136
0.088,0.003225
0.089,0.003316
0.09,0.003409
0.091,0.003503
0.092,0.003598
0.093,0.003696
0.094,0.003795
0.095,0.003895
0.096,0.003997
0.097,0.004101
0.098,0.004206
0.099,0.004312
0.1,0.00442
0.101,0.00453
0.102,0.004641
0.103,0.004754
0.104,0.004869
0.105,0.004985
0.106,0.005103
0.107,0.005222
0.108,0.005344
0.109,0.005467
0.11,0.005592
0.111,0.005719
0.112,0.005847
0.113,0.005977
0.114,0.006108
0.115,0.006242
0.116,0.006377
0.117,0.006514
0.118,0.006653
0.119,0.006793
0.12,0.006935
0.121,0.007079
0.122,0.007224
0.123,0.007372
0.124,0.007522
0.125,0.007673
0.126,0.007827
0.127,0.007982
0.128,0.008139
0.129,0.008298
0.13,0.008458
0.131,0.008621
0.132,0.008785
0.133,0.008951
0.134,0.009119
0.135,0.009289
0.136,0.009461
0.137,0.009634
0.138,0.00981
0.139,0.009987
0.14,0.010167
0.141,0.010348
0.142,0.010532
0.143,0.010717
0.144,0.010904
0.145,0.011093
0.146,0.011284
0.147,0.011476
0.148,0.011671
0.149,0.011867
0.15,0.012066
0.151,0.012267
0.152,0.012471
0.153,0.012676
0.154,0.012883
0.155,0.013093
0.156,0.013304
0.157,0.013517
0.158,0.013732
0.159,0.01395
0.16,0.014169
0.161,0.014391
0.162,0.014614
0.163,0.01484
0.164,0.015067
0.165,0.015297
0.166,0.015529
0.167,0.015763
0.168,0.015999
0.169,0.016237
0.17,0.016477
0.171,0.016719
0.172,0.016964
0.173,0.01721
0.174,0.017459
0.175,0.017709
0.176,0.017963
0.177,0.018219
0.178,0.018478
0.179,0.018738
0.18,0.019001
0.181,0.019265
0.182,0.019531
0.183,0.0198
0.184,0.020071
0.185,0.020345
0.186,0.020621
0.187,0.020899
0.188,0.02118
0.189,0.021463
0.19,0.021748
0.191,0.022034
0.192,0.022322
0.193,0.022612
0.194,0.022906
0.195,0.023203
0.196,0.023501
0.197,0.023802
0.198,0.024106
0.199,0.024411
0.2,0.024719
0.201,0.025028
0.202,0.025339
0.203,0.025652
0.204,0.025969
0.205,0.026288
0.206,0.02661
0.207,0.026934
0.208,0.027261
0.209,0.02759
0.21,0.027921
0.211,0.028254
0.212,0.028588
0.213,0.028924
0.214,0.029264
0.215,0.029607
0.216,0.029953
0.217,0.030301
0.218,0.030651
0.219,0.031004
0.22,0.031359
0.221,0.031717
0.222,0.032077
0.223,0.032439
0.224,0.032803
0.225,0.033168
0.226,0.033535
0.227,0.033907
0.228,0.034282
0.229,0.034659
0.23,0.035039
0.231,0.035421
0.232,0.035806
0.233,0.036193
0.234,0.036582
0.235,0.036974
0.236,0.037369
0.237,0.037766
0.238,0.038166
0.239,0.038568
0.24,0.038973
0.241,0.03938
0.242,0.03979
0.243,0.040202
0.244,0.040617
0.245,0.041034
0.246,0.041454
0.247,0.041877
0.248,0.042302
0.249,0.04273
0.25,0.04316
0.251,0.043593
0.252,0.044028
0.253,0.044466
0.254,0.044907
0.255,0.04535
0.256,0.045796
0.257,0.046245
0.258,0.046696
0.259,0.04715
0.26,0.047606
0.261,0.048065
0.262,0.048527
0.263,0.048991
0.264,0.049458
0.265,0.049928
0.266,0.0504
0.267,0.050876
0.268,0.051353
0.269,0.051834
0.27,0.052317
0.271,0.052802
0.272,0.053291
0.273,0.053782
0.274,0.054276
0.275,0.054772
0.276,0.055272
0.277,0.055774
0.278,0.056282
0.279,0.056794
0.28,0.057306
0.281,0.057819
0.282,0.058335
0.283,0.058853
0.284,0.059375
0.285,0.059899
0.286,0.060425
0.287,0.060955
0.288,0.061487
0.289,0.062023
0.29,0.06256
0.291,0.063101
0.292,0.063645
0.293,0.064195
0.294,0.064748
0.295,0.065303
0.296,0.065858
0.297,0.066416
0.298,0.066976
0.299,0.067539
0.3,0.068106
0.301,0.068675
0.302,0.069246
0.303,0.069821
0.304,0.070398
0.305,0.07098
0.306,0.071568
0.307,0.072159
0.308,0.07275
0.309,0.073341
0.31,0.073936
0.311,0.074534
0.312,0.075135
0.313,0.075738
0.314,0.076344
0.315,0.076954
0.316,0.077566
0.317,0.078181
0.318,0.078802
0.319,0.079428
0.32,0.080057
0.321,0.080685
0.322,0.081314
0.323,0.081947
0.324,0.082583
0.325,0.083222
0.326,0.083863
0.327,0.084508
0.328,0.085155
0.329,0.085806
0.33,0.086459
0.331,0.087116
0.332,0.087775
0.333,0.088438
0.334,0.089103
0.335,0.089772
0.336,0.090448
0.337,0.091128
0.338,0.091811
0.339,0.092491
0.34,0.093175
0.341,0.093862
0.342,0.094551
0.343,0.095244
0.344,0.09594
0.345,0.096638
0.346,0.09734
0.347,0.098045
0.348,0.098753
0.349,0.099471
0.35,0.100192
0.351,0.100912
0.352,0.101633
0.353,0.102356
0.354,0.103082
0.355,0.103812
0.356,0.104545
0.357,0.10528
0.358,0.106019
0.359,0.106767
0.36,0.107519
0.361,0.108273
0.362,0.109024
0.363,0.109778
0.364,0.110536
0.365,0.111297
0.366,0.112063
0.367,0.112837
0.368,0.113615
0.369,0.114391
0.37,0.115167
0.371,0.115947
0.372,0.11673
0.373,0.117516
0.374,0.11831
0.375,0.119111
0.376,0.119914
0.377,0.120712
0.378,0.121515
0.379,0.12232
0.38,0.123128
0.381,0.12394
